"(   )の語句を文中の適切な箇所に入れ、全文を書きなさい。
Could you tell her the volunteer group? ( to support ) ",Could you tell her to support the volunteer group?
" (   ) 内に一か所、誤りがある。正しく全文を書きなさい。
I wonder ( who ) ( will help ) us ( finishing ) our research.",I wonder who will help us to finish our research.
"(   )の語句を文中の適切な箇所に入れ、全文を書きなさい。
The doctor ordered me these medicine for a week.  ( to take ) ",The doctor ordered me to take these medicine for a week.
"Kumi said to Paul, ""Please clean the classroom.""
Kumi asked (   ) (   ) (   ) the classroom.（ほぼ同じ内容になるように）",Paul / to / clean
"Kumi said to Paul, ""Be kind to nature.""
Kumi told (   ) (   ) (   ) (   ) (   ) (   ).（ほぼ同じ内容になるように）",Paul / to / be / kind / to / nature
"Kumi said to Raj, ""Please read the Hindi words.""
Kumi asked (   ) (   ) (   ) (   ) (   ) (   ).（ほぼ同じ内容になるように）",Raj / to / read / the / Hindi / words
Koji wants ( 1 to me  2 me to ) draw a picture.,2
"My mother said to me, ""Stop playing video games.""
My mother told (   ) (   ) (   ) (   ) video games.（ほぼ同じ内容になるように）",me / to / stop / playing
My mother ( 1 wants me  2 wants I ) to clean my room.,1
"(   )の語句を文中の適切な箇所に入れ、全文を書きなさい。
I don't know how about a girl I love.  ( to forget ) ",I don't know how to forget about a girl I love.
"(   )の語句を文中の適切な箇所に入れ、全文を書きなさい。
It will be necessary for me by myself in the future.  ( to live ) ",It will be necessary for me to live by myself in the future.
"(   )の語句を文中の適切な箇所に入れ、全文を書きなさい。
I read the reports some information on refugee.  ( to get ) ",I read the reports to get some information on refugee.
" (   ) 内に一か所、誤りがある。正しく全文を書きなさい。
He spoke ( so ) fast that we ( could understand ) what he was saying.",He spoke so fast that we couldn't understand what he was saying.
We still have so much work to do.,私たちにはまだたくさん、しなくてはならないことがあります。
"私たちはこのイルカを助ける方法を考えなくてはなりません。
We must find a (   ) (   ) save this dolphin.",way / to
"I didn't know Yumi (   ) the university in the US.
1 graduate  2 graduated with  3 graduated off  4 graduated from",4
"She never lost her (   ) to save the refugee children.
1 strong will  2 latest purpose  3 light mind  4 serious business",1
"A: I'm busy. I have to clean my room, walk my dog and ...
B: (   ), you don't want to go with me this afternoon, right?
1 At first  2 In addition  3 In short  4 For example",3
"A: Where would you like to go this evening?
B: Pardon?
A: I want to know (   ) (   ) (   ) (   ) (   ) this evening.",where / you / would / like / to / go
"A: Do you know how much I love you ?
B: Of course. I want (   ) (   ) (   ) (   ) (   ) (   ) (   ) (   ) too. 
   ( 「Aにも知ってほしい」という返答に）",you / to / know / how / much / I / love / you
What time will she be free tomorrow? Do you know? ( 一つの文に）,Do you know what time she will be free tomorrow?
"どうやったら自分の勇気と情熱の両方を保てるのでしょうか。
I wonder ( can / keep / how / my courage / and / I / both ) passion.",I wonder how I can keep both my courage and passion.
"次の会議がいつ行われるか教えていただけますか。
( tell / take place / when / me / could  you / will / the next meeting )?",Could you tell me when the next meeting take place?
"とても寒かったので、姉はコートなしでは外出できませんでした。
( my sister / was / that / it / couldn't / cold / go out / so ) without her coat.",It was so cold that my sister couldn't go out without her coat.
"私は両親にハワイに連れて行ってくれるように頼むつもりです。
( Hawaii / to / to / my parents / will / I / take / ask / me ).",I will ask my parents to take me to Hawaii.
"お互いに助け合うことは大切です。
(   ) (   ) important to help each other.",It / is
"良い写真を撮るのは難しい。
(   ) is (   ) to take good pictures.",It / hard [ difficult ]
"英語を勉強するのは面白い。
(   ) is interesting (   ) study English.",It / to
"私にとってピアノを弾くことは難しい。
It is difficult (   ) (   ) to play the piano.",for / me
"健にとって英語を話すのは簡単だ。
(   ) is easy (   ) (   ) to speak English.",It / for / Ken
"彼にとって映画を観るのは楽しい。
(   ) is fun (   ) (   ) (   ) see movies.",It / for / him / to
"It is easy to do the work. （否定文に）
It (   ) (   ) easy to do the work.",is / not
"It is difficult for you to play the guitar. （疑問文に）
(   ) (   ) difficult for you to play the guitar ?",Is / it
"It is hard for Jack to get up at five. （過去の文に）
(   ) (   ) hard for Jack to get up at five.",It / was
"It was necessary for him to finish the homework.（疑問文に）
(   ) (   ) necessary for him to finish the homework ?",Was / it
Do you know how to make sukiyaki?,あなたはすき焼きの作り方を知っていますか。
I don't know what to buy for my father.,父に何を買ったらいいか私にはわかりません。
We didn't know where to play soccer.,どこでサッカーをやればいいのか私たちは知りませんでした。
He wanted to know when to call you.,彼はいつあなたに電話したらいいか知りたがっていました。
"私は彼にパーティで何を着たらよいかを尋ねました。
I asked ( what to / him / wear ) at the party.",I asked him what to wear at the party.
"私にこのカメラの使い方を教えてくれませんか。
Will you ( me / show / how to ) use this camera?",Will you show me how to use this camera?
"その若者はどこに座ればよいかをその女性に教えてあげました。
The young man told ( to sit / where / the woman ).",The young man told the woman where to sit.
"私はトムに英語を教えてくれるように頼みました。
I (   ) Tom (   ) teach me English.",asked / to
"あなたのお母さんはあなたに医者になってほしいのです。
Your mother (   ) (   ) to be a doctor.   ",wants / you
"父は私に早く寝るように言いました。
My father (   ) me (   ) go to bed early.",told / to
"He is too busy to go to the movies.
He is (   ) busy (   ) he (   ) go to the movies.",so / that / cannot [ can't ]
"We were too tired to walk to the station.
We were (   ) tired (   ) we (   ) walk to the station.",so / that / couldn't
"The book was too difficult for children to read.
The book was (   ) difficult (   ) children (   ) read.",so / that / couldn't
"I am too tired to run.
I am (   ) tired (   ) I can't run.",so / that
"The boy was too excited to sleep.
The boy was (   ) excited that he could (   ) sleep.",so / not
"あなたの弟は親切にも私を手伝ってくれました。
Your brother was kind (   ) (   ) help me.",enough / to
"ホワイトさんは島を一つ買えるほど裕福です。
Mr White is rich (   ) (   ) (   ) an island.",enough / to / buy
"早起きすることはよいことです。
(   ) is good (   ) get up early.",It / to
"彼に電話することは必要ですか。
(   ) (   ) necessary to call him ?",Is / it
"私にとってこの質問に答えるのは簡単です。
It is easy (   ) me (   ) answer the question.",for / to
"マイクが日本語でレポートを書くのは難しかった。
It (   ) hard (   ) Mike to write a report in Japanese.",was / for
"彼らは午前中、何をすればいいのかわかりませんでした。
They didn't know (   ) (   ) do in the morning.",what / to
"あなたはこのコンピュータの使い方を知っていますか。
Do you know ( to / how / this computer / use )?",Do you know how to use this computer ?
"サッカーの試合を見るのはわくわくしますか。
( exciting / it / to watch / is ) soccer games ?",Is it exciting to watch soccer games?
"いつあなたに電話をすればよいか私に教えて下さい。
Please tell ( call / when / me / to / you ).",Please tell me when to call you.
"彼女は娘にどちらのバッグを買ってあげたらよいかわかりませんでした。
She didn't know ( which bag / buy / for / to ) her daughter.",She didn't know which bag to buy for her daughter.
"母は私に台所を掃除するように頼みました。
My mother (   ) (   ) to clean the kitchen.",asked / me
"ミラー先生は私たちに英語で話すように言いました。
Mr Miller (   ) us (   ) speak in English.",told / to
"私はとても驚いたので、口がきけませんでした。
I was (   ) surprised (   ) speak.",too / to
"ミルクは熱すぎて、そのネコは飲めませんでした。
The milk was too hot (   ) the cat (   ) drink.",for / to 
"彼は車を運転できる年齢です。
He is old (   ) (   ) drive a car.",enough / to
"私はあなたに私のケーキを食べてもらいたい。
I (   ) you (   ) eat my cake.",want / to
"My father says to me, ""Be kind to old people.""
My father tells me (   ) be kind to old people. （ほぼ同じ内容を表すように）",to
"I said to Mary, ""Please help me with my homework.""
I asked Mary (   ) help me with my homework. （ほぼ同じ内容を表すように）",to
"I was too sleepy to read the book.
I was (   ) sleepy (   ) I couldn't read the book. （ほぼ同じ内容を表すように）",so / that
"He was so rich that he could not buy anything.
He was rich (   ) (   )  buy anything.（ほぼ同じ内容を表すように）",enough / to
Is it easy to play the violin?,バイオリンを弾くのは簡単ですか。
I know how to get to the station.,駅への行き方を私は知っています。
The woman wanted her son to be a scientist.,その女性は息子に科学者になってもらいたかった。
The song is too difficult to sing.,その歌は難しすぎて歌えない。
It's not easy to dance.　（「彼にとって」を加えた文に）,It's not easy for him to dance.
"When should I visit you? Please tell me. 
Please tell me (   ) (   ) visit you.（ほぼ同じ内容を表す一文に）",Please tell me when to visit you.
"This box is so heavy that Mika can't carry it.
This box is (   ) heavy (  ) Mika to carry.　（ほぼ同じ内容を表す文に）",too / for 
"What should I give to Mary? I don't know that
I don't know (   ) (   ) give to Mary.　（ほぼ同じ内容を表す文に）",what / to
"彼は私に窓を閉めるように頼みました。
He ( me / close / asked / to ) the window.",He asked me to close the window.
"絵を描くのは面白いですか。
Is ( paint pictures / it / to / interesting ) ?",Is it interesting to paint pictures?
"私はどちらのケーキを食べたらよいかわかりませんでした。
I didn't know ( which / to / cake / eat ).",I didn't know which cake to eat.
"かばんを預かっていただけますか。
( bag / could / keep / my / you )?",Could you keep my bag?
"もう一度言っていただけますか。
( again /  could / say / that / you )?",Could you say that again?
"英語をチェックしていただけますか。
( check / could / English / my / you )?",Could you check my English?
"私にピアノを教えていただけますか。
(  could / me /  teach / the piano / you )?",Could you teach me the piano?
"駅への行き方を教えていただけますか。
( could / me / station / tell / the / the / to / you / way )?",Could you tell me the way to the station?
"おすすめのレストランを教えていただけますか。
( a / could / good / recommend / restaurant / you )?",Could you recommend a good restaurant?
"（電話で）こちらはメグです。ポールはいますか。
This is Meg. (   ) (   ) speak to Paul?",May [ Can ] / I
"残念ながら彼は外出しています。
I'm (   ) he is out.",afraid
"彼女は私の電話番号を知ってますよね。ーもちろん知っていますよ。
She knows my phone number, (   ) (   ) ?　－I'm (   ) she (   ).",doesn't / she / sure / does
地図を描いていただけますか。,Could you draw a map?
黄色いのを見せていただけますか。,Could you show me yellow ones?
"映画をDVDで見るのは映画館よりもいいと思います。
I (   ) (   ) movies on DVD (   ) (   ) than at the theater.",think / watching / is / better
"まず、見たいときにいつでも映画を見られます。
First, you can watch the movie (   ) you want.",anytime
"2つ目に、見たいだけ何度でも見られます。
(   ), you can watch it (   ) many times (   ) you want.",Second / as / as
"要点はわかりますが、映画館で映画を見るのも良い点があると思います。
I (   ) your point, but I think watching movies at the theater has good (   ) too.",see / points
"ぼくは秋よりも春の方がいいと思います。
( better / think / fall / is / I / than / spring ).",I think spring is better than fall.
"ぼくは、秋よりも春の方が、良い点が多いと思います。
( has / than / good points / think / fall / spring / I / more ).",I think spring has more good points than fall.
"私もそう思います。
( too / think / I / so ).",I think so too.
"あなたに賛成です。
( you / I / with / agree ).",I agree with you.
"同じ考えです。
( same / the / have / opinion / I ).",I have the same opinion.
"それはどういう意味ですか。
( it / does / mean / what )?",What does it mean?
"それはどういうことですか。
( you / do / mean / what )?",What do you mean?
"つまりどういうことですか。
( point / your / is / what )?",What is your point?
"私が最も訪れたい場所は沖縄です。
( visit / Okinawa / to / the most / the place / I / is / want ).",The place I want to visit the most is Okinawa.
"ウィリアムはそのような家に住んでいました。
William lived in (   ) (   ) house.",such / a 
"私たちは暗くなる前に家に帰らなければなりません。
We have to go back home before it (   ) (   ).",gets / dark
"エマはおばさんの家での滞在を楽しみました。
Emma enjoyed (   ) (   ) her aunt's house.",staying / at
"ウィリアムは本を読むことを決してあきらめませんでした。
William never (   ) (   ) reading books.",gave / up
"ウイリアムは図書館で勉強することが好きでした。
( to / the library / liked / in / William / study ).",Willian liked to study in the library.
"ウィリアムは勉強する時間が十分にありませんでした。
( time / William / to / have / did /enough / study / not ).",William did not have enough time to study.
"だれもがウィリアムに感動しました。
Everyone was (   ) (   ) William.",impressed / with 
"ブラウン先生は母国にもどるでしょう。
Ms Brown will (   ) (   ) to her homeland.",go / back
"私たちにとって自分たち自身を信頼することは簡単ではありません。
It is not easy for us to (   ) (   ) (   ).",believe / in / ourselves
"健は試験勉強をするために夜、寝ないで起きていました。
Ken(   ) (   ) at night to study for an exam.",stayed / up
"フランス語を学ぶことはラージにとって新しいことです。
Learning French is (   )(   ) Raj.",new / to
"ウィリアムは風車をつくることができました。
( to / windmills / was / build / william / able ).",William was able to build windmills.
"たくさんの生徒が丘先生に歌ってくれるように頼みに来ました。
( came / Mr Oka / sing / many students / ask / to / to ).",Many students came to ask Mr Oka to sing. 
"私は私たちが平和な世界をつくることができると信じています。
( make / we / believe / a peaceful world / I / that / can ).",I believe that we can make a peaceful world.
"このびんは空っぽだよ。
This (   ) is (   ).",bottle / empty
"電気なしでどうやって暮らしてるの？
(   ) do you live (   ) (   )?",How / without / electricity
"彼は、将来何をしたいのかを自分自身に問いかけました。
He asked (   ) what he wanted to do in the future.",himself
"私は彼女を信じています。
I (   ) (   ) her.",believe / in 
"電話はまだつながっているよ。
The phone is (   ) (   ).",still / conneted
"卒業した後も、英語の勉強を続けてね。
Please (   ) (   ) English after you (   ).",keep / studying /graduate
"また傘失くしたの？－あの壁に立てかけたもん。
Have you (   ) your umbrella again? - I stood it (   ) that wall.",lost / against
"彼のことばが、私の人生に対する考え方を変えたのです。
His words (   ) my (   ) to my life.",changed / attitude
"テニスへの関心はいつ始まったのですか。
(   ) did your (   ) in tennis begin?",When / interest
"それにいくら払ったの。－100ドル！
How much did you (   ) for it? - I (   ) $100!",pay / paid
"成功へのカギは何だったのですか。
What was the key to (   )?",success
"彼女はいつも、私という人間に気づかせてくれます。
She (   ) makes me (   ) who I am.",always / realize
"私は科学を勉強するために大学に行きたい。
I (   ) (   ) go to university (   ) (   ) science.",want / to / to / study
"今朝ぼくは朝ご飯を食べる時間がなかったんだ。
This morning i didn't have (   ) (   ) (   ) breakfast.",time / to / eat
"私たちは無駄を減らすために、ものをリサイクルする必要がある。
We (   ) (   ) recycle things (   ) reduce waste.",need / to / to 
"僕はバスに乗るだけのお金が無いので、歩かなくちゃいけない。
I have to walk because I don't have enough (   ) (   ) (   ) a bus.",money / to / take
"世界をよくするために、私に何ができるだろう。
What can I (   ) (   ) (   ) the world better?",do / to / make
We don't have enough players to play baseball.,野球をするのに選手が足りません。
Some students kept talking during the class.,授業中、話し続けている生徒もいました。
"私が一番好きな作家は江戸川乱歩です。
The writer I like (   ) (   ) (   ) Edogawa Rampo.",the / best / is
"エネルギーとお金を節約するために、私たちは車でなく自転車を使います。
(   ) (   ) energy and money, we use a bike instread of a car.",To / save
"This book is interesting to me.
I am interested in this book.","この本は私にとって興味深い。
私はこの本に興味がある。"
We can go back to our dauly life when everything calms down.,すべてのことが落ち着いたら、私たちは日常生活に戻ることができます。
"If you believe in yourself and try, you can change the world.",自分自身を信じて挑戦すれば、世界を変えることができます。
"私はフランス人の少年の話に感動しました。
I was (   ) (   ) a story of a French boy.",impressed / with 
"だれもがそのニュースに驚きました。
Everyone (   ) (   ) (   ) the news.",was / surprised / at
"彼女はオーストラリアの鳥に興味があります。
She (   ) (   ) (   ) birds in Australia.",is / interested / in
"彼はテレビでサッカーの試合を見るために、一晩中起きていました。
He (   ) (   ) all night to watch the soccer game on TV.",stayed / up
"彼女は英語とフランス語の両方で読んだり話したりできます。
She can read and speak (   ) in English (   ) in French.",both / and
"私は彼の最新のCDを聞いて楽しみました。
I (   ) (   ) to his latest CD.",enjoyed / listening
"彼は正義のためにたたかうことを決してあきらめませんでした。
He never (   ) (   ) (   ) for justice.",gave / up / fighting
"He keeps (   ) by himself even now.
1 life  2 to live  3 living",3
"I didn't (   ) up practicing tennis when it got dark.
1 finish  2 give  3 stop",2
"We were (   ) with her interview on TV.
1 impressing  2 impressed  3 impressed by",2
"She was only a (   ) girl.
1 14-year-old  2 14 years old  3 14- years-old",1
"He may be ( poor ), but he is honest.（　）内と同じ意味の語句を含む文を選びなさい。
1 My speech was poor.  2 She lives in the poor village.  3 He was in poor health.",2
"Windmills in the village are ( turning ) with strong wind.（　）内と同じ意味の語句を含む文を選びなさい。
1 In turn, she sang.  2 Turn left at the bank.  3 The earth turns around the sun.",3
"This is too expensive for me. I need to ( save ) money this month.（　）内と同じ意味の語句を含む文を選びなさい。
1 We must save water.  2 I tried to save her.  3 They saved the dying lion.",1
"It's almost 1 p.m. I have to ( go back ) to work.（　）内と同じ意味の語句を含む文を選びなさい。
1 Walk along this road.  2 I returned to my town.  3 I've got my passion again.",2
"彼女は家族のためによりよい仕事が必要でした。
She ( better / a / for / needed / her family / job ).",She needed a better job for her family.
"私たちはそこでは買い物に行く十分な時間はないでしょう。
We ( enough / shopping / time / won't / to / go / have ) there.",We won't have enough time to go shopping there.
"それはあなたが映画を見るのを楽しめなかったということですか。
( couldn't / watching / mean / does / enjoy / that / you ) the film?",Does it mean you couldn't enjoy watching the film?
"彼が一番好きな本は、アフリカの野生動物についてでした。
( was / he / the book / about / the best / liked ) animals in the wild in Africa.",The book he liked the best was about animals in the wild in Africa.
"写真が示しているように、スーダンには大きな問題もあります。
Sudan also has great problems (   ) the photo shows.",as
"ケビン・カーターはそこに写真家として働くために行きました。
Kevin Carter went there to work (   ) a photographer.",as
"長年、スーダンの人々は戦争と飢餓で苦しんできました。
For many years the people of Sudan have (   ) (   ) war and hunger.",suffered / from
He wanted the world to see the problems of Sudan.,彼は世界にスーダンの問題を見てもらいたかった。
"彼はなぜその子どもがそこにいるのか知っていた。
He knew (   ) the child (   ) there.",why / was
"彼女はとてもおなかがすいていたので動けなかった。
She was (   ) hungry (   ) she (   ) not move.",so / that / could
"彼らは突然、スーダンの人々が直面する問題に気がついた。
They (   ) suddenly (   ) (   ) the problems that the people of Sudan (   ).",were / aware / of / faced
I ( 1 can  2 be able to ) help you.,1
"私はそのコンサートの切符を手に入れることができた。
I ( 1 could  2 was able to ) get the tickets for the concert.",2
You will ( 1 can  2 be able to ) ride a bicycle soon.,2
"私は今朝、鍵を見つけられなかった。
I ( 1 could  2 couldn't ) find the key this morning.",2
"私たちはいつも、困っている人を助けるべきだ。
We (   ) always help people (   ) need.",should / in
"彼女は死にかけていた。
She was ( 1 die  2 dies  3 dying  4 died ).",3
"Mr Carter had to decide between ( do ) his work and ( help ) the child.
（(   ) 内の動詞を適切な形に）",doing / helping
"彼は自分の仕事をすることに決めた。
He decided ( 1 doing  2 to do ) his work.",2
"その写真は確かに衝撃的だったが、その写真家の行動もそうだった。
The photograph was certainly shocking, (   ) (   ) the photographer's actions.",so / were
"私はよく図書館に行きますし、姉もそうです。
I often go to the library, and  (   ) (   ) my sister.",so / does
"私は昨日学校に遅刻したが、兄もそうだった。
I was late for school yesterday, and (   ) (   ) my brother.",so / was
"彼は世界にスーダンの問題を知ってもらいたかった。
He ( of / see / the problems / the world / to / wanted ) Sudan.",He wanted the world to see the problems of Sudan.
,
,
,
,
,
,
,
question,answer
"The leaves is my neighborhood have recently (   ) yellow.
1 come  2 developed  3 led  4 turned",4 turned
"Ted: Professor Jones suggested that I rewrite this essay.
Jack: Oh, well, ( a few / cost / hours / it / may / you ) but I'm sure you'll get a higher grade on it.",it may cost you a few hours but I'm sure you'll get a hogher score on it.
"Today, in science class. I learned that salt water doesn't freeze (   ) 0℃.
1 at  2 in  3 on  4 with",1 at
"(   ) in this class is as kind (   ) Abbie.  She always helps people who are in trouble.
1 Anybody / as  2 Anybody / than  3 Nobody / as  4 Nobody / than",3 Nobody / as
"Rita: Daniel and I have to go home now.
Father: Oh, ( are / earlier / how come / leaving / than / you ) usual?  I thought you were going to stay for dinner.","Oh, how come are you leaving earlier than usual?"
"I think eating at home is often (   ) more economical than eating at a restaurant.
1 far  2 high  3 too  4 very",1 far
"A: When did you break your glasses? 
B: It (       ) when I was playing basketball.  
1 decided  2 tasted  3 cared  4 happened",4 happened
"A: Where did you go last weekend?
B: I went fishing in the sea. I (   ) ten big fish.
1 taught  2 bought  3 caught  4 thought",3 caught
"A: Was Mr. Brown your math teacher?
B: No. He (   ) us science.
1 taught  2 caught  3 decided  4 received",1 taught
"A: What did you do yesterday, Cindy?
B: I went shopping and I (   ) a T-shirt.
1 bought  2 brought  3 caught  4 received",1 bought
"Girl: How was your weekend? You went camping, didn't you?
Boy:(   ) It rained all day.
1 It was wonderful.  2 No problem.  3 It was terrible.  4 Nor so bad.",3 It was terrible.
"Woman: Thank you for your present. I really wanted it for a long time.
Man: (   ) Please use it every day.
1 Much better, thanks.  2 I'm glad you like it.  3 I'm sorry to hear that.  4 That's a good idea.",2 I'm glad you like it.
"Anna has a cold. She's going to see a (   ) this morning.
1 doctor  2 nurse  3 dentist  4 singer",1 doctor
"A: May I come in?
B: Sure. But (   ) off your shoes, please.
1 give  2 put  3 take  4 make",3 take
"Boy: I think I have a cold.
Girl: (   ) Did you go to see a doctor?
1 I'm fine,thanks.  2 That's too bad.  3 I'm sorry.  4 Not so bad.",2 That's too bad.
"A: How was your new school, Alice?
B: Great. I (   ) some new friends.
1 made  2 gave  3 took  4 built",1 made
"A: Hello. May I speak to Emily, please?
B: Sorry, she's out. Shall I take a (   )?
1 problem  2 passage  3 number  4 message",4 message
"Woman: Excuse me. Could you tell me the way to the post office?
Man: I'm sorry. (   )
1 Go along this street.  2 Hold on, please.  3 No problem.  4 I'm a stranger here.",4 I'm a stranger here.
"Girl: This cake is delicious. Can I have another piece?
Mother: (   ) It's on the table in the kitchen.
1 Hold on, please.  2 Sorry, you can't.  3 Here you are.  4 Help yourself.",4 Help yourself.
"A: Did you break this vase, Jim?
B: No. I had nothing to (   ) with it.
1 do  2 work  3 connect  4 talk",1 do
"Girl: See you next week. Have a nice weekend.
Boy: Thank you. (   )
1 Me, too.  2 That's a good idea.  3 Sure. Here you are.  4 The same to you.",4 The same to you.
"Girl: I'm moving to New York next week.
Boy: Really? (   )
1 No problem.  2 I'll miss you.  3 It was terrible  4 That's too small.",2 I'll miss you.
"Boy: This is Bill. May I speak to Jane, please?
Woman: Sorry, she's out. (   )
1 You have the wrong number.  2 Can I leave a message?  3 Shall I take a message? 4 Hold on, please.",3 Shall I take a message?
"Mother: John, dinner is ready!
Boy: Thank you. (   )
1 Go ahead.  2 After you.  3 Help yourself.  4 I'm coming.",4 I'm coming.
あした映画を観に行きませんか。 ( we / don't / see / why / to / go ) a movie tomorrow?,Why don't we go to see a movie tomorrow?
わたしに手伝ってほしいのですか。 ( me / help / would / to / like / you ) you?,Would you like me to help you?
"Boy: Hello. This is Fred. May I speak to Cindy, please?
Woman: (   ) She's in her room now.
1 Hold on, please.  2 Sorry, she's out.  3 Who's calling, please?  4 I'm coming.","1 Hold on, please."
医者に診てもらったらどうですか。(  don't / see / why / you ) a doctor? ,Why don't you see a doctor?
"A: Do you know (   ) Cathy didn't come to school yesterday?
B: No, I don't. Maybe she was sick.
1 who  2 when  3 why  4 how",3 why
"I want to buy that new computer, but it's too (   ) for me.
1 delicious  2 heavy  3 expensive  4 important",3 expensive
"A: Tom, please turn on the light. It's too (   )
B: OK., Dad.
1 dark  2 bright  3 noisy  4 cold",1 dark
"A: Have you ever (   ) to Hawaii?
B: Yes, I have. I went there last year.
1 go  2 went  3 trip  4 been",4 been
"Man: Why don't we go to the Italian restaurant near the station tonight?
Woman: (   ) I've wanted to go there.
1 Great!  2 Nothing special.  3 Maybe some other time.  4 Help yourself.",1 Great!
"I can't answer this question. It is too (   ) for me.
1 little  2 happy  3 easy  4 difficult",4 difficult
"A: Would you like another dish. Brian?
B: No more, thank you.  I'm (   ).
1 thirsty  2 hungry  3 angry  4 full",4 full
"George likes planes very much. He wants to be a (   ) in the future.
1 carpenter  2 singer  3 cook  4 pilot",4 pilot
"A: I don't know the (   ) of this word.
B: Why don't you look it up in the dictionary?
1 means  2 meaning  3 problem  4 message",2 meaning
"A: Janet, do you speak French?
B: Yes. I speak it a (   ).
1 few  2 little  3 well  4 short",2 little
"The station is (   ) away from here. You can't walk there.
1 right  2 far  3 too  4 many",2 far
"A: What's the (   ) of Italy?
B:It's Rome.
1 country  2 capital  3 government  4 north",2 capital
"Masao's uncle is a (   ) in Gunma. He grows many kinds of vegetables.
1 farmer  2 businessman  3 pilot  4 guitarist",1 farmer
"A: What's your hobby, James?
B: I (   ) foreign stamps. I have more than 1,000.
1 send  2 collect  3 select  4 receive.",2 collect
"Judy (   ) me to her birthday party last night. I really enjoyed it.
1 received  2 invited  3 got  4 taught",2 invited
"Carol is my (   ). She's my father's mother.
1 aunt  2 cousin  3 niece  4 grandmother",4 grandmother
"A: What's to the (   ) of Honshu?
B: It's Hokkaido.
1 capital  2 center  3 north  4 south",3 north
"A: Who wrote this letter to you, Julia?
B: Sorry. I can't tell you. It's a (   ).
1 credit  2 secret  3 select  4 top",2 secret
"My brother travels all (   ) the world. He went to South America last week.
1 over  2 in  3 along  4 toward",1 over
"A: George, please (   ) off the light. It's very late.
B: OK. Mom.
1 play  2 take  3 get  4 turn",4 turn
"We can see (   ) of stars at night here.
1 lot  2 much  3 kind  4 thousands",4 thousands
"A: Don't (   ) your money.
B: I know. But I really wanted this new watch.
1 put  2 make  3 get  4 waste",4 waste
"Tom's favorite (   ) is P.E. because he's good at sports.
1 hobby  2 choice  3 subject  4 problem",3 subject
"A: It's not raining. But bring your umbrella just in (   ).
B: OK, Mom.
1 case  2 sight   3 time  4 condition",1 case
"Girl: Did you see the movie on TV last night?
Boy: (   ) I wanted to see it.
1 I miss it.  2 I'll miss it.  3 I missed it.  4 I miss you.",3 I missed it.
"Mary is (   ) in Japanese history.
1 good  2 interesting  3 interested  4 favorite",3 interested
今日の放課後テニスをしませんか。 ( we / play / shall / school / after / tennis ) today?,Shall we play tennis after school today?
"明日ひまなら、いっしょに買い物に行きませんか。
 ( go / if / shall / shopping / we / you're ) free tomorrow?",Shall we go shopping if you're free tomorrow?
"Woman: I'm hungry. Shall we go out for lunch?
Man: (   ) I know a nice restaurant.
1 You're welcome.  2 OK.  3 Yes, please.  4 No, not yet.",2 OK.
"A: If you (   ) free tomorrow, let's play tennis together.
B: OK. I'd love to.
1 do  2 will  3 can　4 are",4 are
"Boy: Are you free after school today?
Girl: (   ) But I'm free tomorrow.
1 Yes, I am.  2 Sorry, I'm busy.  3 Fine, thank you.  4 Sorry, I can't.","2 Sorry, I'm busy."
"Be kind (   ) old people. You'll be old someday.
1 to  2 of  3 for  4 with",1 to
"Nancy talked with her friend on the phone for a long time, so her father get very angry (   ) her.
1 with  2 to  3 for  4 in",1 with
"Rose and Betty often talk to (   ) other on the phone.
1 each  2 every  3 the  4 one",1 each
"My father really loves (   ) baseball games on TV.
1 watch  2 watches  3 watching  4 watched",3 watching
"これはこの美術館でもっとも高価な絵です。
This ( expensive / most / is / picture / in / the ) this museum.",This is the most expensive picture in this museum.
これはこの国でもっとも長い川です。( is / river / in / longest / this / the ) this country.,This is the longest river in this country.
"彼は学校でどの生徒よりも走るのが速い。
He can ( student / any / run / than / faster / other ) in his school.",He can run faster tha any other student in his school.
"A: Hello. May I speak to Mr. Brown, please?
B: Brown? I'm afraid you have the wrong (   ).
1 phone  2 call  3 time  4 number",4 number
"Emily wants to help sick people, so she wants to be a (   ) when she grows up.
1 farmer  2 musician  3 nurse  4 dentist",3 nurse
食事の前に手を洗うのを忘れてはいけません。( hands / to / forget / wash / don't / your ) before meals.,Don't forget to wash your hands before meals.
"Do you know (   ) to drive a car?
1 what  2 who  3 whose  4 how",4 how
"あなたは大きくなったら何になりたいですか。
What ( want / be / to / you / when / do ) you grow up?",What do you want to be when you grow up?
あなたが良くなっているときいてうれしいです。I'm glad ( that / you're / better / hear / getting / to ).,I'm glad to hear that you're getting better.
家に戻るまで3時間以上もかかりました。 It ( three / more / took / hours / to / than ) get back home.,It took more than three hours to get back home.
"A: Your brother's going to Hawaii next week, (   ) he?
B: Yes. He'll be there for a month.
1 isn't  2 aren't  3 don't  4 doesn't",1 isn't
"A: You went to a baseball game yesterday, (   ) you?
B: Yes. It was a really nice game.
1 don't  2 didn't  3 haven't  4 weren't",2 didn't
"Boy: I went to Canada this summer.
Girl: (   ) I want to go there someday.
1 Oh, are you?  2 Oh, were you?  3 Oh, do you?  4 Oh, did you?","4 Oh, did you?"
"A: You have two bikes, (   ) you ,Bob? Can I use one of them?
B: Sure.
1 aren't  2 weren't  3 don't  4 didn't",3 don't
